altitude_m,H_geopotential_m,temperature_K,temperature_C,pressure_hPa,density_kg_m3
0,0,256.150,-17.00,1013.000,1.377695
1000,1001,258.146,-15.00,886.8449,1.196798
2000,2002,254.142,-19.01,776.0259,1.063744
3000,3002,250.137,-23.01,677.6458,0.9437636
4000,4003,244.636,-28.51,590.2222,0.8404919
5000,5002,239.137,-34.01,512.4874,0.7465779
6000,6002,233.639,-39.51,443.5517,0.6613581
7000,7001,228.143,-45.01,382.5879,0.5841997
8000,8000,222.649,-50.50,328.8318,0.5145059
9000,8999,217.157,-55.99,281.5750,0.4517084
10000,9997,217.150,-56.00,240.6499,0.3860682
12000,11993,217.150,-56.00,175.8055,0.2820401
14000,13987,217.150,-56.00,128.4591,0.2060834
16000,15980,217.170,-56.98,93.84925,0.1512425
18000,17972,214.178,-58.97,68.40422,0.1112618
20000,19963,213.150,-60.00,49.73827,0.08129118
22000,21952,213.150,-60.00,36.15873,0.05909702
24000,23940,213.150,-60.00,26.29192,0.04297097
26000,25927,220.859,-52.29,19.22591,0.03032568
28000,27913,228.801,-44.35,14.21792,0.02164789
30000,29897,236.739,-36.41,10.62516,0.01563521
32000,31880,244.672,-28.48,8.018305,0.01141660
34000,33862,252.600,-20.55,6.106657,0.008421882
36000,35843,260.522,-12.63,4.690837,0.006272541
38000,37823,262.973,-10.18,3.623584,0.004800274
40000,39801,264.951,-8.20,2.805074,0.003688223
42000,41778,266.928,-6.22,2.175935,0.002839817
44000,43754,267.150,-6.00,1.690096,0.002203913
46000,45728,267.150,-6.00,1.312957,0.001712117
48000,47701,267.150,-6.00,1.020135,0.001330273
50000,49673,262.966,-10.18,0.7914038,0.001048422
52000,51644,258.039,-15.11,0.6111471,0.0008250838
54000,53614,253.115,-20.03,0.4696791,0.0006464293
56000,55582,248.194,-24.96,0.3591563,0.0005051153
58000,57549,243.276,-28.97,0.2732166,0.0003912419
60000,59515,238.362,-34.79,0.2067193,0.0003021225
62000,61480,233.450,-39.70,0.1555282,0.0002320886
64000,63444,228.541,-44.61,0.1163292,0.0001773220
66000,65406,223.635,-49.51,0.08647901,0.0001347127
68000,67367,218.733,-54.42,0.06387914,0.0001017381
70000,69327,213.833,-59.32,0.04687159,0.00007636122
72000,71285,208.937,-64.21,0.03415310,0.00005694477
74000,73243,204.043,-69.11,0.02470465,0.00004217887
76000,75199,199.153,-74.00,0.01773386,0.00003102097
78000,77154,194.265,-78.88,0.01262818,0.00002264560
80000,79108,189.381,-83.77,0.008916933,0.00001640279
