altitude_m,H_geopotential_m,temperature_K,temperature_C,pressure_hPa,density_kg_m3
0,0,248.950,-24.20,1013.800,1.418660
1000,1002,253.044,-20.11,884.5174,1.217724
2000,2004,250.238,-22.91,772.0217,1.074767
3000,3006,247.412,-25.74,672.8301,0.9473777
4000,4007,240.903,-32.95,584.8615,0.8457631
5000,5008,234.396,-38.75,506.4699,0.7527325
6000,6009,227.892,-45.26,436.8327,0.6677662
7000,7009,221.389,-51.76,375.1780,0.5903625
8000,8009,214.949,-58.20,320.7829,0.5198928
9000,9009,214.849,-58.30,273.6448,0.4437023
10000,10009,214.749,-58.40,233.4267,0.3786668
12000,12007,214.549,-58.60,169.8431,0.2757775
14000,14003,214.350,-58.80,123.5672,0.2008253
16000,15999,214.150,-59.00,89.89100,0.1462298
18000,17993,213.951,-59.20,65.38634,0.1064661
20000,19986,213.751,-59.40,47.55711,0.07750765
22000,21978,215.134,-58.02,34.62642,0.05607069
24000,23968,216.528,-56.62,25.26826,0.04065368
26000,25957,217.920,-55.23,18.48014,0.02954241
28000,27945,219.312,-53.84,13.54518,0.02151597
30000,29932,220.703,-52.45,9.949498,0.01570479
32000,31918,222.092,-51.06,7.323893,0.01148805
34000,33902,223.481,-49.67,5.402505,0.008421549
36000,35885,224.869,-48.27,3.993455,0.006186662
38000,37867,226.257,-46.89,2.957953,0.004554364
40000,39847,227.643,-45.51,2.195386,0.003359654
42000,41827,229.029,-44.12,1.632664,0.002483391
44000,43805,230.413,-42.74,1.216572,0.001838367
46000,45782,232.360,-40.79,0.9083331,0.001361824
48000,47757,237.695,-35.45,0.6815869,0.0009989411
50000,49732,243.026,-30.12,0.5148024,0.0007379496
52000,51705,248.353,-24.80,0.3912713,0.0005488409
54000,53677,249.150,-24.00,0.2985521,0.0004174432
56000,55648,249.150,-24.00,0.2278576,0.0003185963
58000,57617,249.150,-24.00,0.1739321,0.0002431963
60000,59585,248.448,-24.70,0.1327760,0.0001861757
62000,61552,246.087,-27.06,0.1011787,0.0001432313
64000,63518,243.728,-29.42,0.07691214,0.0001099328
66000,65483,241.371,-31.78,0.05832001,0.00008417270
68000,67446,239.015,-34.13,0.04410993,0.00006429099
70000,69408,236.660,-36.49,0.03327592,0.00004898278
72000,71369,234.307,-38.84,0.02503669,0.00003722460
74000,73329,231.955,-41.19,0.01878687,0.00002821555
76000,75288,229.605,-43.54,0.01405851,0.00002133027
78000,77245,227.256,-45.89,0.01049079,0.00001608165
80000,79201,224.909,-48.24,0.007806135,0.00001209115
