altitude_m,H_geopotential_m,temperature_K,temperature_C,pressure_hPa,density_kg_m3
0,0,256.150,-17.00,1013.000,1.377695
1000,1001,258.146,-15.00,886.8449,1.196798
2000,2002,254.142,-19.01,776.0259,1.063744
3000,3002,250.137,-23.01,677.6458,0.9437636
4000,4003,244.636,-28.51,590.2222,0.8404919
5000,5002,239.137,-34.01,512.4874,0.7465779
6000,6002,233.639,-39.51,443.5517,0.6613581
7000,7001,228.143,-45.01,382.5879,0.5841997
8000,8000,222.649,-50.50,328.8318,0.5145059
9000,8999,217.157,-55.99,281.5750,0.4517084
10000,9997,217.150,-56.00,240.6499,0.3860682
12000,11993,217.150,-56.00,175.8055,0.2820401
14000,13987,217.150,-56.00,128.4591,0.2060834
16000,15980,216.660,-56.49,93.86566,0.1509268
18000,17972,215.664,-57.49,68.51527,0.1106746
20000,19963,214.669,-58.48,49.94837,0.08105706
22000,21952,213.674,-59.48,36.36671,0.05929124
24000,23940,212.680,-60.47,26.44420,0.04331538
26000,25927,212.799,-60.37,19.21169,0.03145098
28000,27913,214.189,-58.96,13.98203,0.02274108
30000,29897,215.578,-57.57,10.19889,0.01648110
32000,31880,216.966,-56.18,7.455902,0.01197143
34000,33862,218.354,-54.80,5.462602,0.008715197
36000,35843,221.089,-52.06,4.012477,0.006322421
38000,37823,225.642,-47.51,2.964307,0.004576586
40000,39801,230.192,-42.96,2.203638,0.003334944
42000,41778,234.739,-38.41,1.647996,0.002445733
44000,43754,239.283,-33.87,1.239565,0.001804660
46000,45728,243.825,-29.32,0.9375287,0.001339508
48000,47701,248.363,-24.79,0.7128723,0.0009999140
50000,49673,251.350,-21.80,0.5446827,0.0007549232
52000,51644,250.706,-22.44,0.4166374,0.0005789381
54000,53614,248.736,-24.41,0.3182256,0.0004456916
56000,55582,246.768,-26.38,0.2425802,0.0003424563
58000,57549,244.801,-28.35,0.1845465,0.0002626223
60000,59515,242.835,-30.31,0.1401113,0.0002010021
62000,61480,240.870,-32.28,0.1061557,0.0001535319
64000,63444,238.906,-34.24,0.08026052,0.0001170341
66000,65406,236.944,-36.21,0.06055290,0.00008902811
68000,67367,234.983,-38.17,0.04558557,0.00006758167
70000,69327,233.023,-40.13,0.03424239,0.00005119209
72000,71285,231.065,-42.08,0.02566429,0.00003869314
74000,73243,229.107,-44.04,0.01919143,0.00002918143
76000,75199,227.151,-46.00,0.01431797,0.00002195861
78000,77154,225.196,-47.95,0.01065701,0.00001648590
80000,79108,223.242,-49.91,0.007913193,0.00001234847
