altitude_m,H_geopotential_m,temperature_K,temperature_C,pressure_hPa,density_kg_m3
0,0,248.950,-24.20,1013.800,1.418660
1000,1002,253.044,-20.11,884.5174,1.217724
2000,2004,250.238,-22.91,772.0217,1.074767
3000,3006,247.412,-25.74,672.8301,0.9473777
4000,4007,240.903,-32.95,584.8615,0.8457631
5000,5008,234.396,-38.75,506.4699,0.7527325
6000,6009,227.892,-45.26,436.8327,0.6677662
7000,7009,221.389,-51.76,375.1780,0.5903625
8000,8009,214.940,-58.21,320.7829,0.5199144
9000,9009,213.890,-59.26,273.5459,0.4455302
10000,10009,212.841,-60.31,233.0938,0.3815168
12000,12007,210.743,-62.41,168.8744,0.2791571
14000,14003,208.647,-64.50,121.9791,0.2036632
16000,15999,206.551,-66.60,87.83552,0.1481428
18000,17993,204.457,-68.69,63.05091,0.1074303
20000,19986,202.365,-70.78,45.11508,0.07766495
22000,21978,202.350,-70.80,32.23166,0.05549036
24000,23968,205.286,-67.86,23.07322,0.03915492
26000,25957,209.265,-63.88,16.62315,0.02767293
28000,27945,213.241,-59.91,12.05276,0.01969039
30000,29932,217.214,-55.94,8.792735,0.01410177
32000,31918,221.185,-51.96,6.452494,0.01016271
34000,33902,224.593,-48.56,4.760890,0.007384648
36000,35885,227.766,-45.38,3.528605,0.005396998
38000,37867,230.937,-42.21,2.626618,0.003962249
40000,39847,234.106,-39.04,1.963440,0.002921754
42000,41827,237.273,-35.88,1.473719,0.002163740
44000,43805,240.438,-32.71,1.110555,0.001609072
46000,45782,243.601,-29.55,0.8401313,0.001201453
48000,47757,246.762,-26.39,0.6379577,0.0009006423
50000,49732,247.150,-26.00,0.4855713,0.0006844323
52000,51705,247.150,-26.00,0.3696574,0.0005210470
54000,53677,246.405,-26.74,0.2814220,0.0003978742
56000,55648,244.238,-28.91,0.2138795,0.0003050666
58000,57617,242.071,-31.08,0.1621783,0.0002333929
60000,59585,239.906,-33.24,0.1226907,0.0001781593
62000,61552,237.742,-35.41,0.09259942,0.0001356875
64000,63518,235.580,-37.57,0.06972114,0.0001031013
66000,65483,233.419,-39.73,0.05236749,0.00007815628
68000,67446,231.259,-41.89,0.03923568,0.00005910446
70000,69408,229.101,-44.05,0.02932263,0.00004458764
72000,71369,226.944,-46.21,0.02185783,0.00003355266
74000,73329,224.788,-48.36,0.01625073,0.00002518476
76000,75288,222.634,-50.52,0.01204978,0.00001885500
78000,77245,220.481,-52.67,0.008910540,0.00001407900
80000,79201,218.329,-54.82,0.006570902,0.00001048460
